	AAPL	GOOG	MSFT	ADYEN.AS	AMZN	AGN.AS	AKZA.AS	ASML	GLPG
0.05_0.8_2	0.10524354745155594	0.08750861775541896	0.03052048127052731	0.09515217883932119	0.08476219725889582	0.10588546370473464	0.22447438584012722	0.043357754355272345	0.4212894372749861
0.05_0.8_5	0.10363251694526851	0.08425576738806635	0.029420921109969685	0.09394344739598186	0.08781614109639901	0.10402826400349409	0.18920930357194216	0.04344334838677739	0.44582175069011865
0.05_0.8_10	0.10923094499471561	0.0896918864902039	0.029530329654391802	0.0923624959320224	0.08703138758526956	0.10394719417836944	0.20596517780721604	0.04383628564497393	0.46416462443728146
0.05_0.8_20	0.10639084179917742	0.0943440049735579	0.030631905538248197	0.09459989184282769	0.08491902871685789	0.10449829008102307	0.2321127405431871	0.0418903592892746	0.4663094089142983
0.05_0.9_2	0.15934643318769323	0.050061902722305394	0.025864632567756285	0.0885511275284545	0.09360057306887565	0.14702742021460885	0.2334072655380055	0.11785565258069808	0.4148891258839272
0.05_0.9_5	0.16350762507362498	0.047235487266064455	0.02594687855706087	0.09364228123354587	0.09365485899626541	0.1431471040461294	0.23850569137895675	0.11624419834754761	0.41510335279783467
0.05_0.9_10	0.16578864349620998	0.06691137019828688	0.026011858581711372	0.08267503982834079	0.09136175459046487	0.14130495647258087	0.22798359563300477	0.11779546245716131	0.42849080209620594
0.05_0.9_20	0.16331610395249196	0.05349590891084512	0.025680138508727746	0.08674928178836058	0.09182275287866389	0.15042928565521516	0.22951994101055795	0.1203196576846994	0.4053063743828453
0.05_1.0_2	0.12928484742603588	0.0981432917817317	0.025274134093474163	0.09038153838081239	0.10158654243934251	0.16659462035578804	0.23201804287624647	0.1357578818740163	0.41720176321361
0.05_1.0_5	0.14862504876985425	0.08388958656195371	0.025336177719108045	0.0929492387552565	0.09866457440364482	0.17910506742726096	0.2450330970477859	0.13862402651238664	0.41874673681259456
0.05_1.0_10	0.13832930838862983	0.07942844118303556	0.025713918505789184	0.09357492056360969	0.0989487041981769	0.15705528929254317	0.23768071153065518	0.1291838490017771	0.41746674417934093
0.05_1.0_20	0.1504462638804604	0.08820489937967924	0.025632552103016626	0.09606714176237581	0.10168947387443916	0.1739422849199104	0.23448021024046853	0.12697322580219006	0.4171107290547251
0.15_0.8_2	0.04690412341656357	0.07480263530698598	0.038235592633272246	0.08828254378397792	0.08496656945489137	0.16859424373320564	0.24699714396185282	0.053097136714931985	1.0202570116880247
0.15_0.8_5	0.0567806876449471	0.07507639925011501	0.04189695858005957	0.1130564303676676	0.08561699270415613	0.15798791495161688	0.2648591508686445	0.05069561738258687	0.9627037646063867
0.15_0.8_10	0.052182014717528556	0.07503666832831185	0.037775495280998134	0.09180429475931044	0.0843935083081091	0.16802396064153924	0.25154682199250883	0.051082870497674855	1.0723682432012598
0.15_0.8_20	0.051834597406036506	0.07368326871243253	0.038450341323064095	0.09046684670091534	0.08868830245743904	0.1509349530642342	0.22702527625501775	0.05982973862756291	1.0418988421252813
0.15_0.9_2	0.09159569229067556	0.027088983014849615	0.08166209402049035	0.09426173886110432	0.0837816991085513	0.15579772091271	0.32101662829804595	0.10140571291662964	0.32241910185491746
0.15_0.9_5	0.09521968394276896	0.03628571700171618	0.08301783111765489	0.08150009460279355	0.09095167718253598	0.15414073911990908	0.3247486701135682	0.0998024997651944	0.3080074780824629
0.15_0.9_10	0.08923063920647463	0.028497094438674476	0.08261708996059687	0.09102137157620045	0.09265892708482086	0.1593808848972522	0.33108346495807894	0.10119849513627993	0.31432088406163244
0.15_0.9_20	0.0991363894105093	0.031055790015666853	0.07902600938001203	0.09555638708577026	0.07410041244455268	0.15431641536346444	0.32457723958559653	0.10276190121830808	0.3044694558967455
0.15_1.0_2	0.10619721363644649	0.16629350061246817	0.06604605307275856	0.06668100558004718	0.07897972577925762	0.16953984502267955	0.26693491293104427	0.1477102809190014	0.6290431677050309
0.15_1.0_5	0.10568206525906435	0.16109479851675562	0.06805266972752841	0.06617747994437674	0.07580778844571166	0.17243795992696817	0.2597385824235545	0.1414618293002862	0.5838622176038096
0.15_1.0_10	0.09978177239877355	0.14240422399331998	0.06343287497278847	0.06962422472934213	0.07539080869411083	0.1736217702956945	0.2553604005542391	0.14590210869308728	0.5665994358788446
0.15_1.0_20	0.10089134482781249	0.1707665634074734	0.06972691408791544	0.06715893858795947	0.0855543369401941	0.17082125667317258	0.2600707385375284	0.1452974709758425	0.5792922695655192
0.25_0.8_2	0.043521489050431496	0.13324331958024768	0.04942134329508982	0.08916870363155935	0.11600240509333658	0.11427352763749368	0.22550000212125645	0.07350318364834596	0.2744629711468415
0.25_0.8_5	0.04320337981902959	0.13942397776077747	0.04525490048776604	0.09108756188904366	0.08819003163067078	0.1114683485551355	0.23024742858452155	0.07579834273220928	0.2516744448794652
0.25_0.8_10	0.04494214284115848	0.13046392427078254	0.042879023696981954	0.0929402516490134	0.09844942488633712	0.11553732027214729	0.23870958204238352	0.07415559469945848	0.2617506884353226
0.25_0.8_20	0.045830511487116886	0.13457455425873846	0.04394380826736022	0.10127206101054112	0.09238915928017188	0.11313857510834681	0.22318391915183602	0.07603906312686101	0.2434792337101078
0.25_0.9_2	0.04059468104410266	0.05598178493474497	0.08393828757503935	0.3568910934650769	0.08729741346621923	0.15944825142569705	0.3505139005479713	0.09021804497744378	0.2834014233650813
0.25_0.9_5	0.039561943159640935	0.06506766613657458	0.07704751065936075	0.3033328214799238	0.08306445558168589	0.1578825660165153	0.3529598272642767	0.08575270216324836	0.2539477093730012
0.25_0.9_10	0.040216644619084904	0.06143634052419176	0.08752928840317058	0.3749638705134701	0.08370129878726619	0.15912997071614038	0.35642061412903553	0.08991403572175598	0.20342270211546148
0.25_0.9_20	0.044094255906944664	0.06561018380277638	0.10107893354004388	0.258329491202547	0.07506477453979958	0.1608780271972436	0.35195764875491814	0.08637713699714197	0.26005226181117547
0.25_1.0_2	0.0790479211108757	0.20543696516600174	0.0852808029426851	0.0702262349501392	0.08253183370954141	0.18767781498760822	0.27223712393593913	0.17138115853757455	0.7268285518664148
0.25_1.0_5	0.0892510376336289	0.2626572235959938	0.08348530370424861	0.07942845225029418	0.08620809751909238	0.19075948370053597	0.2667200963598497	0.17264306583029054	0.6448474222084007
0.25_1.0_10	0.08274304831642963	0.17797250559706818	0.08260078526022979	0.07994312274365967	0.08511254654849376	0.18671627793202383	0.2703323255351143	0.17185550431871538	0.6425645332079326
0.25_1.0_20	0.08189934692061664	0.1701076340075345	0.08381460283385084	0.07311232720231972	0.08581376676540634	0.18576420256250892	0.27459392259365606	0.16164292085411902	0.6191475313175339
0.35_0.8_2	0.045760381357251356	0.16163180010163608	0.05686589643299221	0.09914389752171213	0.08829698188663422	0.11007038679121875	0.25301950009966884	0.07562629372925192	0.4070758828367952
0.35_0.8_5	0.041414843360095016	0.15066240815098106	0.04906719452062091	0.09580095769095065	0.0926616718176923	0.10839494789834855	0.25743988910595794	0.06861900398062921	0.29867808278525293
0.35_0.8_10	0.044820042453327824	0.15994689400411005	0.053998511788629466	0.09492512271656774	0.06486738800575358	0.1095598239073296	0.2553885459945716	0.07333079641326512	0.3162724595670635
0.35_0.8_20	0.046997991091833356	0.15025343754039322	0.04938674120619355	0.09336972309764088	0.06659339653377427	0.11010003441362805	0.2564189597705856	0.07522349422852992	0.3122399869578575
0.35_0.9_2	0.03544155446073772	0.07101987134976341	0.11298945527717269	0.3996386119352548	0.08647339228192383	0.17438417414407126	0.36234095092442453	0.07889291836359291	0.1945816926973476
0.35_0.9_5	0.03529962162546391	0.07344393440248283	0.11375594478707012	0.40770104121559714	0.09088009351084328	0.16907258595301905	0.37345600002072404	0.07927259908950925	0.2356432322521701
0.35_0.9_10	0.03494607743226049	0.07393470842636803	0.1144577737167749	0.37068852757510456	0.08691169351785542	0.16629846350896207	0.3645805505297274	0.07992831407161889	0.18727416500048272
0.35_0.9_20	0.036428789319257124	0.07554686322288189	0.08731778254355244	0.4309358922719545	0.09012283542962479	0.1668928326443067	0.3411014002905352	0.08137831838009299	0.25845062430854654
0.35_1.0_2	0.07746024022993703	0.31731386507171144	0.09103637021997074	0.07952799788862853	0.09263676948812674	0.20212421649843038	0.2785381650782013	0.15255187368390472	0.7150293687397538
0.35_1.0_5	0.07658887488640924	0.23128390411139832	0.097579057254688	0.08707271223646997	0.09102971591756222	0.1909749079635077	0.27713326731001203	0.1811508107346139	0.8202318403293613
0.35_1.0_10	0.07928535672317932	0.23763287562778837	0.09708079575741864	0.08342427076100477	0.09105167976177819	0.1999382724684937	0.28072857565795956	0.18423049053562407	0.8629640668166729
0.35_1.0_20	0.0804790603974798	0.2096583065116572	0.09225108985442469	0.08285148913879214	0.09614716830068945	0.19442387171745937	0.2862766564127421	0.17897758497625185	0.7154158543306259
0.45_0.8_2	0.04265723623007235	0.1865787364482106	0.059783468688869856	0.10009041134510387	0.06880512175514127	0.11630672882583891	0.3279430337220886	0.06431525258305539	0.5380653791448523
0.45_0.8_5	0.04373204688329171	0.1718222117087758	0.06126666485259805	0.10821933431492935	0.07875128906023805	0.12462117250269664	0.3196336796055016	0.06635921507635957	0.5738615381013176
0.45_0.8_10	0.04520429668449582	0.1612630894938347	0.05921377900158311	0.10462119458564953	0.07064487916026965	0.11332344563782049	0.3162367640912265	0.06964961880228276	0.5778329624217913
0.45_0.8_20	0.04539786637761454	0.18586597477901345	0.055374729822064477	0.09514926126421988	0.0735419179546162	0.10942644702796475	0.31510548505225655	0.0690386929183766	0.6726066568123346
0.45_0.9_2	0.0355579090583589	0.08679820647484095	0.11098400590559586	0.4579394243432605	0.08391969958598851	0.17829607972426212	0.34528443909478446	0.07481768206875573	0.23281168714949274
0.45_0.9_5	0.03498714497018291	0.09983620089190005	0.08416960630504704	0.41557130807735265	0.08304418625275703	0.16997720785023	0.38726720342502846	0.07656661605442554	0.15019440397036865
0.45_0.9_10	0.03413410841757183	0.08554610695510467	0.08471272620600456	0.505829802528381	0.0814389066022888	0.16903376906979162	0.3756979738916709	0.08185818788413769	0.1459973037770256
0.45_0.9_20	0.03583765608581839	0.08121994673283209	0.10205468104357583	0.45682608608868014	0.07898155633529781	0.18091456916480597	0.3578525800234585	0.07218140949768892	0.23087800050344048
0.45_1.0_2	0.06772199033249597	0.20733062541803818	0.10581688363429788	0.10866641328710556	0.10256763720283259	0.20895782268594362	0.297471585039409	0.1849560578865066	0.8654912605922632
0.45_1.0_5	0.0793376512038819	0.23987063820648685	0.10303252719488705	0.10908309638416169	0.09982617610895787	0.1988718385989234	0.27691253049607945	0.18417814171750013	0.8224152208156507
0.45_1.0_10	0.08207398647411676	0.2245584669133043	0.09923974246732849	0.11168544194817163	0.09549575307410813	0.2066831015345062	0.27921822068370844	0.15020233668830776	0.8424793789905024
0.45_1.0_20	0.06571999937090985	0.23978319844834015	0.10700535088410054	0.09809427213484863	0.094717691393109	0.20143954042578394	0.2833607540563882	0.17872787204067422	0.8474790118507254
